id	BTAS.1	BTAS.2	BTAS.3	BTAS.4	BTAS.6	MTAS.1	MTAS.2	MTAS.3	MTAS.4	MTAS.5	MTAS.6
PCHAS_0607000	2129	1243	907	2628	1512	826	1003	675	1220	414	853
PCHAS_0607100	4255	3104	1864	5854	2494	2705	2424	1904	2638	1367	2059
PCHAS_0607200	1009	683	349	1035	533	303	426	246	448	151	208
PCHAS_0607300	79	26	16	96	59	28	15	15	26	13	21
PCHAS_0607400	8098	4611	3019	9202	5236	7865	4747	4407	5195	4880	5389
PCHAS_0607500	1319	855	586	1696	896	593	727	502	839	350	610
PCHAS_0607600	194	109	24	269	85	32	23	2	38	28	27
PCHAS_0607700	30	14	7	22	21	12	7	4	5	0	5
PCHAS_0607800	836	653	322	953	398	268	287	187	289	134	235
PCHAS_0607900	629	382	229	741	412	196	244	173	295	105	177
PCHAS_0608000	1000	542	199	1406	554	205	74	79	149	130	120
PCHAS_0608100	29	18	34	49	13	8	7	6	13	6	8
PCHAS_0608200	135	97	46	134	73	76	66	65	95	35	56
PCHAS_0608300	426	355	311	551	223	266	310	236	261	163	196
PCHAS_0608400	1753	1354	1088	2699	1587	680	949	625	1372	390	1013
PCHAS_0608500	125	72	51	121	70	65	49	37	30	19	31
PCHAS_0608600	1064	907	391	1377	618	426	436	297	453	242	307
PCHAS_0608700	2519	1740	960	3127	1611	1114	1587	933	1528	616	877
PCHAS_0608800	383	230	108	331	212	152	133	108	174	72	100
PCHAS_0608900	919	860	682	1248	411	396	482	267	471	256	260
PCHAS_0609000	135	128	70	203	118	32	57	44	53	25	59
PCHAS_0609100	3059	1998	1203	3793	2148	1473	1570	1096	1879	805	1525
PCHAS_0609200	37640	22646	14821	46341	21925	26170	22102	17808	22262	13327	19117
PCHAS_0609300	530	498	200	672	331	202	221	142	274	110	186
PCHAS_0609400	1052	960	657	1168	560	295	444	303	478	128	243
PCHAS_0609500	9249	5418	2773	10340	5715	8695	6173	4862	6596	4415	6054
PCHAS_0609600	1962	1292	817	2506	1708	1191	986	700	1039	729	931
PCHAS_0609700	72	53	25	89	70	45	8	13	18	1	18
PCHAS_0609800	60	54	27	51	35	34	26	12	17	17	11
PCHAS_0609900	1575	1513	757	2029	817	840	752	591	833	517	600
PCHAS_0610000	2009	1636	660	2400	1048	862	829	596	803	507	581
PCHAS_0610100	2266	1544	660	2515	1125	1155	1029	777	957	739	765
PCHAS_0610200	1293	1000	342	1356	688	645	599	441	572	370	397
PCHAS_0610300	1465	749	502	1486	725	710	510	403	476	422	474
PCHAS_0610400	2111	993	359	2930	1308	444	150	170	454	280	227
PCHAS_0610500	102	132	89	197	73	20	59	46	62	14	33
PCHAS_0610600	16	7	9	38	19	4	4	0	7	2	11
PCHAS_0610700	741	590	396	1031	441	285	463	252	446	152	209
PCHAS_0610800	178	139	95	255	104	61	99	56	119	33	64
PCHAS_0610900	892	426	377	1145	841	412	310	266	649	231	631
PCHAS_0611000	1260	775	343	1285	719	360	344	247	363	263	252
PCHAS_0611100	798	683	264	730	452	330	380	212	325	146	208
PCHAS_0611200	456	204	93	525	333	125	64	47	118	84	74
PCHAS_0611300	19	16	14	47	18	36	17	11	20	12	41
PCHAS_0611400	5391	3124	1881	5859	2968	2978	2868	2173	2786	1813	2260
PCHAS_0611500	3351	2033	1321	3860	1802	2299	1852	1548	1736	1288	1585
PCHAS_0611600	3098	2711	2253	4130	1742	2439	2001	1601	2203	1178	1805
PCHAS_0611700	602	507	265	727	363	310	329	222	317	138	224
PCHAS_0611800	4491	3417	2162	5832	3231	2564	2751	1861	2778	1386	1993
PCHAS_0611900	18869	13701	7184	23760	10771	18083	13237	11108	13807	8796	11960
PCHAS_0612000	15925	13719	8617	21974	8863	14174	11594	9296	12731	6551	10247
PCHAS_0612100	14931	11277	7223	21513	11365	8987	10808	7013	12201	4537	8593
PCHAS_0612200	5122	4522	2870	6486	2719	2746	2205	1769	2409	1351	1748
PCHAS_0612300	1459	1119	763	1788	783	941	789	618	959	493	744
PCHAS_0612400	51	55	25	94	39	18	4	6	7	12	6
PCHAS_0612500	3234	1979	1065	3626	1705	1792	1608	1271	1689	1037	1233
PCHAS_0612600	4733	3767	2101	6513	3131	2759	3363	2326	3678	1383	2318
PCHAS_0612700	601	546	263	687	302	232	243	165	198	86	130
PCHAS_0612800	20095	12830	6781	23608	11652	16697	16279	11833	15445	8363	11426
PCHAS_0612900	914	624	318	1164	463	275	381	180	395	170	238
PCHAS_0613000	1996	1466	839	2327	1284	782	641	468	637	511	614
PCHAS_0613100	767	543	314	843	471	230	307	208	309	148	180
PCHAS_0613200	411	190	115	399	359	267	52	68	92	145	157
PCHAS_0613300	40270	24537	14722	49031	23297	38238	23636	22974	25893	18533	26033
PCHAS_0613400	2551	1970	965	2968	1150	1643	1058	901	1089	811	1033
