id	BTAS	MTAS
PCHAS_0112200	50.6220366	41.9594861666667
PCHAS_0112300	144.7054966	115.841157
PCHAS_0112400	25.4778964	18.7760328333333
PCHAS_0112500	27.5075652	21.7899518333333
PCHAS_0112600	61.42308	46.3622251666667
PCHAS_0112700	159.4281014	324.956923666667
PCHAS_0112800	43.5322872	61.7825295
PCHAS_0112900	15.8320908	17.3452126666667
PCHAS_0113000	36.3667348	28.1237761666667
PCHAS_0113100	126.2585346	78.3564488333333
PCHAS_0113200	321.28686	364.661533833333
PCHAS_0113300	0.8344408	0.560355
PCHAS_0113400	11.518254	24.8407551666667
PCHAS_0113500	358.458113	389.469965666667
PCHAS_0113600	35.3094682	20.4683083333333
PCHAS_0113700	3.9248204	18.7396541666667
PCHAS_0113800	2.0152256	10.7607003333333
PCHAS_0113900	3.159363	6.43815116666667
PCHAS_0114000	146.2762312	7.03114283333333
PCHAS_0114100	128.2621642	67.6944626666667
PCHAS_0114200	211.7590846	127.068971833333
PCHAS_0114300	31.9284522	34.9861303333333
PCHAS_0114400	23.5810024	16.3007538333333
PCHAS_0114500	7.1412438	19.8185453333333
PCHAS_0114600	55.8728866	66.5134258333333
PCHAS_0114700	39.4466898	16.6239528333333
PCHAS_0114800	1.4832546	5.4685205
PCHAS_0114900	12.9930278	6.8055815
PCHAS_0115000	5.3349622	5.04889983333333
PCHAS_0115100	3.1068304	2.12424416666667
PCHAS_0115200	5.5877726	13.2780921666667
PCHAS_0115300	4.8930662	11.0098468333333
PCHAS_0115400	10.3177828	15.6934526666667
PCHAS_0200001	11.0564522	11.5260036666667
PCHAS_0200005	75.2463528	588.294021666667
PCHAS_0200011	9.4220926	386.099601333333
PCHAS_0200015	8.4986774	233.467129166667
PCHAS_0200021	0.9572924	252.594876333333
PCHAS_0200025	4.3482342	604.388053
PCHAS_0200031	6.7598106	415.341189166667
PCHAS_0200035	1.0480774	0.528667166666667
PCHAS_0200041	1418.653747	991.436169666667
PCHAS_0200045	89.8512632	53.6091275
PCHAS_0200051	92.5569562	69.8668335
PCHAS_0200055	0.4003478	0.973441166666667
PCHAS_0200061	38.5715962	51.6272318333333
PCHAS_0200065	755.060619	812.990437666667
PCHAS_0200071	21411.0021956	18982.5481696667
PCHAS_0200100	10.0421524	4.569292
PCHAS_0200200	17.9094798	10.6760496666667
PCHAS_0200300	136.1481628	88.5785578333333
PCHAS_0200400	56.001998	32.7440616666667
PCHAS_0200500	8.9144982	8.7239495
PCHAS_0200600	51.3948506	28.4997961666667
PCHAS_0200700	121.5164744	101.771974833333
PCHAS_0200800	145.8743146	188.474318833333
PCHAS_0200900	123.8242562	140.139695166667
PCHAS_0201000	107.237466	57.7984693333333
PCHAS_0201100	7.7798012	2.60046816666667
PCHAS_0201200	15.817757	10.9657115
PCHAS_0201300	150.7516754	131.8458715
PCHAS_0201400	1623.9226152	1404.06364816667
PCHAS_0201500	81.8436106	73.335818
PCHAS_0201600	71.9544508	84.3467328333333
PCHAS_0201700	79.4352138	59.4369271666667
PCHAS_0201800	50.0758328	41.4684228333333
PCHAS_0201900	33.5312068	25.3722728333333
PCHAS_0202000	43.0615094	20.9325363333333
PCHAS_0202100	67.212729	54.7352668333333
PCHAS_0202200	76.1984464	71.260346
PCHAS_0202300	66.694562	50.0421461666667
PCHAS_0202400	20.4706828	6.2801035
PCHAS_0202500	74.4162956	44.408022
PCHAS_0202600	316.7815752	177.127607666667
PCHAS_0202700	5.8932188	3.54633183333333
PCHAS_0202800	81.7727216	37.764603
PCHAS_0202900	80.1519522	24.2414776666667
PCHAS_0203000	129.0323386	142.166627
PCHAS_0203100	163.2113508	158.2213495
PCHAS_0203200	145.5793202	178.7744415
PCHAS_0203300	88.4085912	31.4933495
PCHAS_0203400	676.5245788	527.962278666667
PCHAS_0203500	54.57932	47.8323083333333
PCHAS_0203600	229.1806454	296.346741666667
PCHAS_0203700	38.0477088	24.3030911666667
PCHAS_0203800	578.566129	364.094091166667
PCHAS_0203900	39.684843	14.1628341666667
PCHAS_0204000	15.1023048	6.5525805
PCHAS_0204100	23.7644708	10.2174478333333
PCHAS_0204200	5.4126442	2.20704133333333
PCHAS_0204300	476.7368504	371.085273666667
PCHAS_0204400	388.6450104	346.566585166667
PCHAS_0204500	19.415203	8.4710475
PCHAS_0204600	12.6980766	6.78395333333333
PCHAS_0204700	384.8115534	438.345319
PCHAS_0204800	37.097936	26.9868173333333
PCHAS_0204900	291.3248464	212.807873666667
PCHAS_0205000	7.7647038	6.97954966666667
PCHAS_0205100	5.354293	4.87569433333333
PCHAS_0205200	60.0130796	49.0716405
PCHAS_0205300	14.8461246	8.85972166666667
PCHAS_0205400	615.501082	630.835356
PCHAS_0205500	54.2803222	53.5645886666667
PCHAS_0205600	88.6721184	58.5010943333333
PCHAS_0205700	72.220625	80.4354033333333
PCHAS_0205800	12.235138	6.69044566666667
PCHAS_0205900	108.221256	178.503935666667
PCHAS_0206000	5.1176552	2.03914666666667
PCHAS_0206100	32.2924526	31.6849671666667
PCHAS_0206200	32.0447062	20.5734075
PCHAS_0206300	77.0979666	62.0415393333333
PCHAS_0206400	627.2798384	517.073012833333
PCHAS_0206500	20.0843128	10.2887145
PCHAS_0206600	170.367718	130.107735666667
PCHAS_0206700	31.3412376	20.8229565
PCHAS_0206800	3.2826524	0.5331985
PCHAS_0206900	5.3090796	5.32497033333333
PCHAS_0207000	35.7856228	25.8835363333333
PCHAS_0207100	91.6688658	69.7468998333333
PCHAS_0207200	19.324525	31.0186658333333
PCHAS_0207300	201.9058186	196.822709833333
PCHAS_0207400	69.4092106	55.9096815
PCHAS_0207500	0.6746856	0.319685333333333
PCHAS_0207600	474.9331786	347.701510166667
PCHAS_0207700	10.143274	2.49122866666667
PCHAS_0207800	16.9078832	14.7450425
PCHAS_0207900	8.4222826	6.27227483333333
PCHAS_0208000	16.0486292	10.0611251666667
PCHAS_0208100	1.2631088	0.530946833333333
PCHAS_0208200	35.109625	27.6743133333333
PCHAS_0208300	159.7198492	97.1836191666667
PCHAS_0208400	82.6814332	74.4032416666667
PCHAS_0208500	37.203335	35.3224605
PCHAS_0208600	99.133813	80.8758148333333
PCHAS_0208700	1.6254292	2.04269383333333
PCHAS_0208800	28.688222	31.8779785
PCHAS_0208900	68.4195672	90.4963573333333
PCHAS_0209000	65.195919	80.4108071666667
PCHAS_0209100	74.8921052	68.9520971666667
PCHAS_0209200	118.9989052	91.7158273333333
PCHAS_0209300	152.3139082	137.796176833333
PCHAS_0209400	36.7865084	29.1130273333333
PCHAS_0209500	36.0985686	38.1707795
PCHAS_0209600	67.700739	47.5210713333333
PCHAS_0209700	14.919991	14.0693568333333
PCHAS_0209800	9.6031368	7.25053033333333
PCHAS_0209900	421.0327294	308.666692
PCHAS_0210000	64.4432188	55.4223268333333
PCHAS_0210100	10.1411548	11.8452933333333
PCHAS_0210200	23.57463	17.1015526666667
PCHAS_0210300	92.4035892	98.6750588333333
PCHAS_0210400	49.8461118	47.8772001666667
PCHAS_0210500	201.0263756	130.1496485
PCHAS_0210600	61.0610614	85.646732
PCHAS_0210700	46.9893452	35.4538055
PCHAS_0210800	86.324072	43.453031
PCHAS_0210900	35.1294382	16.5003283333333
PCHAS_0211000	3.19524	0.852569666666667
PCHAS_0211100	15.4332116	13.2679193333333
PCHAS_0211200	35.9975032	33.3979735
PCHAS_0211300	101.6656836	117.392909166667
PCHAS_0211400	52.792933	59.5840541666667
PCHAS_0211500	117.7096958	68.1429921666667
PCHAS_0211600	65.8220208	102.864766833333
PCHAS_0211700	25.8984084	21.0977865
PCHAS_0211800	37.714497	33.6290011666667
PCHAS_0211900	0.9894186	0.368608333333333
PCHAS_0212000	31.506698	37.657763
PCHAS_0212100	95.9303588	57.0224116666667
PCHAS_0212200	27.6785406	20.6688791666667
PCHAS_0212300	18.8153384	6.48840816666667
PCHAS_0212400	1.3688066	0.702724333333333
PCHAS_0212500	56.0152888	28.8498731666667
PCHAS_0212600	42.1842526	37.2501323333333
PCHAS_0212700	61.031421	54.3312061666667
PCHAS_0212800	276.0298306	281.076861
PCHAS_0212900	471.225235	280.808816666667
PCHAS_0213000	632.6806344	535.942796166667
PCHAS_0213100	1400.9568682	1667.76777083333
PCHAS_0213200	670.8845294	651.741541166667
PCHAS_0213300	1452.767333	1729.31168833333
PCHAS_0213400	583.444411	598.785333
PCHAS_0213500	98.2121666	73.5220676666667
PCHAS_0213600	30.8601214	27.2258576666667
