id	BTCB.1	BTCB.2	BTCB.3	BTCB.4	BTCB.5	BTCB.6	MTCB.1	MTCB.2	MTCB.3	MTCB.4	MTCB.5	MTCB.6
PCHCB_0703400	401	467	584	374	461	401	854	450	269	571	473	675
PCHCB_0703600	107	124	149	108	159	167	87	20	2	7	10	11
PCHCB_0703700	48	26	51	36	14	24	23	20	7	20	15	20
PCHCB_0703800	4884	3823	4959	4898	2739	2814	4019	1701	1100	2592	2279	3113
PCHCB_0703900	7	16	30	14	15	34	6	3	1	1	3	3
PCHCB_0704000	3	2	0	2	0	4	4	2	0	5	0	3
PCHCB_0704100	75	82	105	61	85	98	257	108	45	76	59	101
PCHCB_0704200	106	442	176	173	140	258	143	116	15	42	60	111
PCHCB_0704300	143	174	375	84	377	297	131	97	163	202	121	155
PCHCB_0704350	23	39	47	17	23	27	12	7	4	2	3	11
PCHCB_0704400	189	161	387	155	299	244	134	75	159	218	108	169
PCHCB_0704500	109	108	255	113	142	143	128	85	115	222	157	134
PCHCB_0704600	203	155	377	172	166	152	236	89	168	281	154	186
PCHCB_0704700	914	821	1719	860	808	816	867	344	510	949	725	639
PCHCB_0704800	890	1027	1877	860	1640	1439	876	500	784	1125	634	861
PCHCB_0704900	77	36	76	36	41	63	46	24	41	48	46	83
PCHCB_0705000	1941	2378	1871	1776	1641	2046	6945	1499	764	914	1119	2116
PCHCB_0705100	4186	3268	6555	3853	4027	3383	3421	1479	1912	4807	3028	2954
PCHCB_0705200	46	35	47	19	40	26	67	31	20	44	31	53
PCHCB_0705300	1937	2178	2877	1819	1745	1986	3616	1995	1112	2434	1617	2771
PCHCB_0705400	68	160	134	102	93	89	81	46	51	74	59	56
PCHCB_0705500	343	416	810	370	436	423	454	348	355	835	347	488
PCHCB_0705600	893	913	1373	843	853	802	923	534	500	1175	680	861
PCHCB_0705700	646	612	1187	483	630	569	576	486	536	1170	518	774
PCHCB_0705800	52	63	71	85	62	70	29	16	17	31	12	28
PCHCB_0706000	154	149	241	119	146	135	143	72	158	195	127	147
PCHCB_0706100	147	172	300	115	219	187	172	172	156	334	175	252
PCHCB_0706200	3533	3851	7375	3058	4318	4285	4145	3147	2932	6341	3219	5082
PCHCB_0706300	130	149	260	152	144	163	179	58	102	180	150	180
PCHCB_0706400	1600	1396	2477	1456	1514	1519	2845	1141	1135	2522	1465	2059
PCHCB_0706500	43	111	129	61	62	155	30	38	6	10	17	21
PCHCB_0706600	1	1	4	9	3	9	0	0	0	0	1	0
PCHCB_0706700	31	68	62	34	44	75	29	8	8	14	3	15
PCHCB_0706800	916	824	1271	711	1043	959	887	684	569	1413	719	1292
PCHCB_0706900	268	317	480	260	370	322	276	117	248	438	240	265
PCHCB_0707000	4414	4173	6791	4535	3797	4239	5298	2378	2471	5176	3143	4308
PCHCB_0707100	579	1231	827	721	809	1099	1593	532	293	263	353	671
PCHCB_0707200	224	239	460	219	300	262	279	199	225	354	206	289
PCHCB_0707300	170	186	194	141	137	154	484	88	145	132	117	181
PCHCB_0707400	2139	1906	3324	2256	1946	1938	2331	1128	1127	2377	1654	1826
PCHCB_0707500	272	261	509	193	349	308	206	140	191	313	173	209
PCHCB_0707600	4518	4710	7000	4072	5140	4623	4364	3043	3058	6445	3376	5492
PCHCB_0707700	3108	3068	5816	2624	3485	3023	3154	2137	2231	4994	2485	3765
PCHCB_0707800	311	350	808	279	597	446	337	194	413	555	303	372
PCHCB_0707900	2070	1987	3313	1956	2136	2114	4035	1262	1283	2123	1476	2003
PCHCB_0708000	17	31	19	8	22	15	20	18	11	26	11	23
PCHCB_0708100	4247	3391	5768	3921	4207	3782	3788	1600	1718	3193	2507	3060
PCHCB_0708200	199	198	400	169	289	204	178	127	233	179	151	189
PCHCB_0708300	168	495	176	203	180	250	122	97	30	44	76	113
PCHCB_0708400	1038	1014	1101	1056	665	778	2251	840	387	611	642	1230
PCHCB_0708500	418	375	794	346	500	428	385	193	294	614	330	406
PCHCB_0708600	723	573	1172	595	605	671	745	402	486	1151	656	784
PCHCB_0708800	13	26	26	25	18	29	11	5	1	7	7	8
PCHCB_0708900	1280	1369	2280	1397	1069	1248	1815	762	808	1713	986	1440
PCHCB_0709000	5050	4100	4854	5230	2697	3280	5428	1529	1054	1968	2309	2728
PCHCB_0709100	675	551	726	520	475	498	634	361	353	868	452	768
PCHCB_0709200	538	1091	510	709	461	696	269	163	73	217	147	214
PCHCB_0709300	262	236	521	260	308	268	207	115	234	405	218	257
PCHCB_0709400	2122	1629	3576	2010	2289	2053	1865	896	1600	3058	1867	1777
PCHCB_0709500	1443	1234	2122	1454	1521	1420	1319	634	790	1690	1107	1227
PCHCB_0709600	4854	3907	6661	4992	5062	4668	4606	1971	2036	4991	3437	3547
PCHCB_0709700	55	34	45	28	38	45	31	5	14	19	12	10
PCHCB_0709800	62	107	97	62	57	96	28	22	8	13	8	17
PCHCB_0709900	51	43	52	59	38	54	90	22	11	65	38	98
PCHCB_0710000	843	845	1290	846	694	778	1271	499	398	1044	723	784
PCHCB_0710100	1417	1222	1821	1211	1039	1120	1827	678	524	1141	943	1288
PCHCB_0710200	455	531	860	468	619	559	546	320	423	758	409	646
PCHCB_0710300	8	7	12	6	6	4	15	4	8	7	3	11
PCHCB_0710400	388	408	860	332	470	412	396	292	428	812	438	553
PCHCB_0710500	1198	1057	2190	1065	1418	1313	929	466	866	1546	970	939
PCHCB_0710600	392	373	864	412	452	472	436	297	396	816	437	483
PCHCB_0710700	3	4	14	10	10	2	3	2	5	10	5	3
PCHCB_0710800	7	18	7	11	10	7	14	4	7	9	0	1
PCHCB_0710900	4841	4831	8728	4534	8361	7145	3586	2095	2898	5205	2925	3671
PCHCB_0711000	217	238	502	172	396	316	206	137	272	343	207	232
PCHCB_0711100	59	82	117	49	121	55	98	60	82	39	43	60
PCHCB_0711200	5121	4108	6481	5067	3984	3787	4881	1977	2061	4345	3244	3755
PCHCB_0711300	1218	1371	2388	1192	1875	1719	2230	678	744	1042	694	1082
PCHCB_0711400	1246	1198	2365	1289	1112	1174	1444	676	935	1832	1044	1202
PCHCB_0711500	5087	4030	7496	4796	4812	4307	4138	1892	2456	4999	3276	3791
PCHCB_0711600	3360	2925	2692	3072	2529	3508	12837	3252	2234	2313	2933	4849
PCHCB_0711700	87	94	146	56	96	125	177	72	51	133	81	59
PCHCB_0711800	9	17	14	12	4	4	9	19	8	17	12	19
PCHCB_0711900	98	74	189	74	92	126	72	65	77	151	53	70
PCHCB_0712000	3236	2672	2950	2871	2098	2633	8825	2089	1275	1449	1981	3204
PCHCB_0712100	22	43	48	12	26	59	13	10	1	2	2	10
PCHCB_0712200	2	4	4	4	2	13	4	0	2	4	0	4
PCHCB_0712300	25	52	65	38	44	44	20	11	6	4	3	6
PCHCB_0712400	23	29	32	11	19	34	14	11	6	16	8	15
PCHCB_0712500	941	871	1203	929	794	785	1082	649	493	1481	729	1097
PCHCB_0712600	202	170	418	148	265	175	189	157	246	385	192	272
PCHCB_0712700	2015	1856	2967	1868	1949	1788	2182	1087	1163	2365	1500	1883
PCHCB_0712800	171	207	148	101	161	177	631	113	91	87	92	182
PCHCB_0712900	448	355	733	386	352	361	416	205	304	596	370	423
PCHCB_0713000	660	1065	876	597	914	1105	2555	787	412	388	402	983
PCHCB_0713100	1891	1795	2615	2087	1566	1559	2113	904	817	1635	1260	1558
PCHCB_0713200	578	620	906	499	647	684	1713	467	488	611	411	688
PCHCB_0713300	179	205	444	140	377	298	185	112	128	168	121	158
PCHCB_0713400	6714	6081	10429	6389	5571	5885	9423	4756	4021	8126	5058	7512
PCHCB_0713500	696	653	1592	585	942	778	594	340	684	997	591	625
PCHCB_0713600	2999	2687	5712	2596	3341	2775	2111	1211	2065	3394	1981	2235
PCHCB_0713700	554	727	609	458	503	655	2403	746	365	273	403	891
PCHCB_0713800	52	167	60	98	51	78	49	25	18	16	11	29
PCHCB_0713900	4783	3532	4664	4849	3015	3428	6352	1952	1472	3238	2747	3520
PCHCB_0714000	3123	2767	4224	2835	2870	2612	3454	1915	1568	3739	2528	3177
PCHCB_0714100	162	209	305	150	166	163	199	110	117	215	125	188
PCHCB_0714200	160	117	359	101	186	156	122	110	152	288	132	181
PCHCB_0714300	244	270	377	247	307	358	206	120	141	283	150	191
PCHCB_0714400	91	141	231	80	147	141	100	124	171	223	109	180
PCHCB_0714500	1845	1682	2666	1666	1876	1846	2353	1356	1072	3034	1184	2537
PCHCB_0714600	378	450	615	410	393	377	655	311	242	637	322	611
PCHCB_0714700	322	346	498	259	323	294	614	378	246	533	309	492
PCHCB_0714800	14	12	24	17	20	32	4	6	3	6	3	1
PCHCB_0714900	6183	4840	6226	6461	3437	3760	6238	1677	1155	2250	2280	3081
PCHCB_0715000	147	180	314	128	290	264	210	68	158	173	125	137
PCHCB_0715100	3835	2981	5293	3674	3274	3006	3812	1473	1799	3537	2599	2694
PCHCB_0715200	1045	1095	1419	1011	926	963	1993	884	655	1255	921	1314
PCHCB_0715300	264	250	635	188	318	287	295	212	233	448	209	313
PCHCB_0715400	242	280	483	189	281	234	299	194	183	405	217	343
PCHCB_0715500	428	431	676	359	375	400	672	290	302	523	385	455
PCHCB_0715600	190	195	362	165	300	175	123	81	171	181	130	119
PCHCB_0715700	1728	1375	2748	1695	1679	1579	1818	862	1096	2427	1554	1562
PCHCB_0715800	152	163	260	99	174	140	103	118	139	182	118	161
PCHCB_0715900	20	19	20	6	14	7	31	17	11	9	10	13
PCHCB_0716000	2998	2914	4354	3050	2300	2597	3386	1758	1389	2973	1929	2964
PCHCB_0716100	11422	9936	16665	11596	9535	10242	13250	4959	5586	10521	7878	8656
PCHCB_0716200	400	358	615	494	366	505	453	161	100	511	303	418
PCHCB_0716300	82	66	107	78	52	63	75	37	43	77	61	66
PCHCB_0716400	211	749	223	302	225	373	218	121	41	45	103	146
PCHCB_0716500	50	46	41	24	35	34	48	6	13	35	13	37
PCHCB_0716600	3909	3350	5280	3788	3056	2695	3606	1456	1243	2610	2270	2663
PCHCB_0716700	2533	2600	3832	2440	2705	2616	2383	1479	1484	2791	1771	2614
PCHCB_0716800	118	155	279	111	179	131	101	139	166	245	134	142
PCHCB_0716900	501	432	1014	451	659	549	422	252	422	774	457	429
PCHCB_0717000	2741	4360	4275	2709	4254	5300	11457	3348	1714	1407	1470	4337
PCHCB_0717100	1304	1261	2068	1224	1209	1367	1577	793	719	1827	1023	1564
PCHCB_0717200	20	22	17	6	18	10	20	11	15	32	16	22
