id	BTCB	MTCB
PCHCB_0100050	10.6680873333333	13.2985711666667
PCHCB_0100100	118.953675333333	85.3001851666667
PCHCB_0100300	2.55320483333333	4.07078533333333
PCHCB_0100400	1.17671283333333	1.32784083333333
PCHCB_0100500	8.49995166666667	94.7027663333333
PCHCB_0100600	0.878047833333333	0.984890333333333
PCHCB_0100651	0.0695145	0.242807333333333
PCHCB_0100750	44.4021546666667	36.7526606666667
PCHCB_0100800	12.159181	11.76872
PCHCB_0100900	94.9981753333333	131.291113833333
PCHCB_0101000	88.6317431666667	82.6656698333333
PCHCB_0101100	19.604549	26.0240053333333
PCHCB_0101200	787.256043833333	748.6155
PCHCB_0101300	6469.191138	5516.678323
PCHCB_0101400	2137.77582683333	1792.26852366667
PCHCB_0101500	27.1039316666667	30.858073
PCHCB_0101600	34.7030498333333	27.8742813333333
PCHCB_0101700	41.8623103333333	51.771068
PCHCB_0101800	1.92437583333333	2.53911383333333
PCHCB_0101900	28.9574803333333	28.1839573333333
PCHCB_0102000	39.4192643333333	55.7350578333333
PCHCB_0102100	66.5065886666667	64.2706078333333
PCHCB_0102200	5.896446	4.69850016666667
PCHCB_0102300	8.5222735	7.29706566666667
PCHCB_0102400	115.839953	103.252989
PCHCB_0102500	83.6001285	81.8132661666667
PCHCB_0102600	99.533588	125.423842333333
PCHCB_0102700	38.3395886666667	46.3389786666667
PCHCB_0102800	62.4514436666667	64.4017618333333
PCHCB_0102900	32.2997923333333	29.9240131666667
PCHCB_0103000	112.454047833333	167.130853166667
PCHCB_0103100	2.23851483333333	0.512511
PCHCB_0103200	27.6787351666667	30.2730941666667
PCHCB_0103300	29.2816191666667	23.478687
PCHCB_0103400	2.54344516666667	1.05802083333333
PCHCB_0103500	11.6230275	11.4816565
PCHCB_0103600	95.3726911666667	171.296484
PCHCB_0103700	29.9166118333333	41.5838288333333
PCHCB_0103800	36.1245405	40.2484881666667
PCHCB_0103900	10.8147983333333	6.838207
PCHCB_0104000	76.7217326666667	45.3943716666667
PCHCB_0104100	114.076868666667	160.918376833333
PCHCB_0104200	4.93249933333333	4.06646166666667
PCHCB_0104300	31.6761835	49.2925756666667
PCHCB_0104400	51.1038218333333	82.7974371666667
PCHCB_0104500	175.823811333333	177.929483666667
PCHCB_0104600	127.786102	167.330857833333
PCHCB_0104700	77.5595788333333	97.7160035
PCHCB_0104800	41.5382893333333	38.2372413333333
PCHCB_0104900	30.0933516666667	32.5625648333333
PCHCB_0105000	2.10431233333333	0.382564
PCHCB_0105100	5.277468	3.53871933333333
PCHCB_0105200	14.470193	16.4605885
PCHCB_0105300	7.90104016666667	6.34147566666667
PCHCB_0105400	49.8930281666667	35.5898851666667
PCHCB_0105500	57.6835696666667	65.001777
PCHCB_0105600	87.5896146666667	128.731111
PCHCB_0105700	19.0508613333333	10.3001545
PCHCB_0105800	36.8869041666667	39.6112278333333
PCHCB_0105900	56.6698016666667	53.0121023333333
PCHCB_0106000	288.167694166667	253.108204833333
PCHCB_0106100	54.1907631666667	60.3607076666667
PCHCB_0106200	34.8685965	37.3875018333333
PCHCB_0106300	0.894926166666667	0.091942
PCHCB_0106400	14.723567	17.7794725
PCHCB_0106500	2.1299975	4.21810733333333
PCHCB_0106600	94.6993305	116.006333
PCHCB_0106700	18.8411453333333	24.444562
PCHCB_0106800	4.24072	2.3033585
PCHCB_0106900	171.294521833333	212.371839666667
PCHCB_0107000	8.51997716666667	9.31773466666667
PCHCB_0107100	15.9712231666667	16.4315053333333
PCHCB_0107200	12.3357406666667	16.2203563333333
PCHCB_0107300	17.9422128333333	15.5915826666667
PCHCB_0107400	19.1701615	24.4647003333333
PCHCB_0107500	19.943097	19.5139883333333
PCHCB_0107550	44.7377461666667	56.0801203333333
PCHCB_0107600	110.9996825	145.888700666667
PCHCB_0107700	397.5344485	559.615005666667
PCHCB_0107800	5.21166933333333	6.29527216666667
PCHCB_0107900	165.078361333333	178.515768166667
PCHCB_0108000	1293.32054683333	1538.96670166667
PCHCB_0108100	36.4860633333333	40.4278716666667
PCHCB_0108200	135.190776	114.2984225
PCHCB_0108300	62.2677915	84.6022063333333
PCHCB_0108400	12.0624863333333	12.3417733333333
PCHCB_0108500	45.2189016666667	43.9952333333333
PCHCB_0108600	9.7765225	7.14472616666667
PCHCB_0108700	1.86127416666667	1.7259845
PCHCB_0108800	27.2992965	25.009879
PCHCB_0108900	84.8958936666667	162.620708666667
PCHCB_0109000	10.717629	14.4351433333333
PCHCB_0109100	59.9245795	65.2554143333333
PCHCB_0109200	54.0331916666667	50.739225
PCHCB_0109300	91.7718725	80.7399383333333
PCHCB_0109400	14833.0948356667	12638.4625271667
PCHCB_0109500	136.6132555	203.171400833333
PCHCB_0109600	482.7258955	511.154038333333
PCHCB_0109700	389.186892833333	396.606409166667
PCHCB_0109800	115.687477	100.058661833333
PCHCB_0109900	48.2758456666667	93.4056233333333
PCHCB_0110000	305.322819666667	319.7425505
PCHCB_0110100	82.1553195	97.2298198333333
PCHCB_0110200	292.240021166667	350.24343
PCHCB_0110300	100.417231666667	88.8499058333333
PCHCB_0110400	4.83595216666667	2.73663033333333
PCHCB_0110500	46.4160868333333	66.023447
PCHCB_0110600	1778.46893783333	2293.73419633333
PCHCB_0110700	273.702751833333	171.419880833333
PCHCB_0110800	99.4994173333333	132.073399833333
PCHCB_0110900	138.852785666667	159.251114166667
PCHCB_0111000	96.4428298333333	101.332316
PCHCB_0111100	12.4304776666667	16.2514523333333
PCHCB_0111200	30.7902278333333	39.3635138333333
